Title:,"Time Series, Area-Averaged of Chlorophyll a concentration (water only) monthly 4 km (monthly)"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"124,-9.5,127.3,-8.3"
Data Bounding Box:,"124.021,-9.47917,127.271,-8.3125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=124,-9.5,127.3,-8.3&data=MODISA_L3m_CHL_Mo_4km_R2022_0_chlor_a&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_CHL_Mo_4km_R2022_0_chlor_a):, -32767

time, mean_MODISA_L3m_CHL_Mo_4km_R2022_0_chlor_a
2019-01-01 00:00:00,0.191484764
2019-02-01 00:00:00,0.253655583
2019-03-01 00:00:00,0.365202844
2019-04-01 00:00:00,0.254308015
2019-05-01 00:00:00,0.456567734
2019-06-01 00:00:00,0.43285802
2019-07-01 00:00:00,0.547858834
2019-08-01 00:00:00,0.477147311
2019-09-01 00:00:00,0.490282267
2019-10-01 00:00:00,0.33994481
2019-11-01 00:00:00,0.286578625
2019-12-01 00:00:00,0.227778167
2020-01-01 00:00:00,0.175104424
2020-02-01 00:00:00,0.243693411
2020-03-01 00:00:00,0.238159195
2020-04-01 00:00:00,0.318530321
2020-05-01 00:00:00,0.476468861
2020-06-01 00:00:00,0.372496575
2020-07-01 00:00:00,0.444385856
2020-08-01 00:00:00,0.372216195
2020-09-01 00:00:00,0.328293175
2020-10-01 00:00:00,0.212341815
2020-11-01 00:00:00,0.230565712
2020-12-01 00:00:00,0.190240785
2021-01-01 00:00:00,0.155708641
2021-02-01 00:00:00,0.169335827
2021-03-01 00:00:00,0.21846813
2021-04-01 00:00:00,0.310754806
2021-05-01 00:00:00,0.242224917
2021-06-01 00:00:00,0.278189421
2021-07-01 00:00:00,0.339292049
2021-08-01 00:00:00,0.333642006
2021-09-01 00:00:00,0.291401953
2021-10-01 00:00:00,0.217419654
2021-11-01 00:00:00,0.179207712
2021-12-01 00:00:00,0.164073452
2022-01-01 00:00:00,0.221723378
2022-02-01 00:00:00,0.325556815
2022-03-01 00:00:00,0.241073847
2022-04-01 00:00:00,0.21396482
2022-05-01 00:00:00,0.237836853
2022-06-01 00:00:00,0.257011265
2022-07-01 00:00:00,0.390688717
2022-08-01 00:00:00,0.390409589
2022-09-01 00:00:00,0.297161788
2022-10-01 00:00:00,0.201295212
2022-11-01 00:00:00,0.169400662
2022-12-01 00:00:00,0.16045703
2023-01-01 00:00:00,0.236759782
2023-02-01 00:00:00,0.1708709
2023-03-01 00:00:00,0.237546265
2023-04-01 00:00:00,0.248789236
2023-05-01 00:00:00,0.285263091
2023-06-01 00:00:00,0.357244343
2023-07-01 00:00:00,0.381391257
2023-08-01 00:00:00,0.391784787
2023-09-01 00:00:00,0.375706643
2023-10-01 00:00:00,0.411031634
2023-11-01 00:00:00,0.310443968
2023-12-01 00:00:00,0.239069194
2024-01-01 00:00:00,0.151638895
2024-02-01 00:00:00,0.20820494
2024-03-01 00:00:00,0.208181843
2024-04-01 00:00:00,0.354829848
2024-05-01 00:00:00,0.449968576
2024-06-01 00:00:00,0.427798837
2024-07-01 00:00:00,0.366180152
2024-08-01 00:00:00,0.532374024
2024-09-01 00:00:00,0.433315843
2024-10-01 00:00:00,0.433960885
2024-11-01 00:00:00,0.342377514
2024-12-01 00:00:00,0.154855207
